p10	p25	co	date
34	21	0.4	2022-11-05 21:00
33	20	0.5	2022-11-05 22:00
34	21	0.5	2022-11-05 23:00
34	22	0.5	2022-11-05 24:00
31	19	0.5	2022-11-06 01:00
32	18	0.5	2022-11-06 02:00
29	17	0.5	2022-11-06 03:00
27	18	0.5	2022-11-06 04:00
25	15	0.5	2022-11-06 05:00
23	16	0.5	2022-11-06 06:00
26	17	0.5	2022-11-06 07:00
29	19	0.5	2022-11-06 08:00
34	19	0.5	2022-11-06 09:00
38	21	0.5	2022-11-06 10:00
35	21	0.4	2022-11-06 11:00
32	18	0.4	2022-11-06 12:00
25	12	0.4	2022-11-06 13:00
22	8	0.3	2022-11-06 14:00
17	9	0.3	2022-11-06 15:00
21	11	0.3	2022-11-06 16:00
24	11	0.3	2022-11-06 17:00
27	14	0.4	2022-11-06 18:00
35	20	0.4	2022-11-06 19:00
